0010841J;No result found for postal code 01701
0520909F;cannot convert float NaN to integer
9760028B;cannot convert float NaN to integer
0210509P;cannot convert float NaN to integer
9710440B;No result found for postal code 97182
0932067S;cannot convert float NaN to integer
0840620T;No result found for postal code 00186
0100565K;No result found for postal code 10000
0100584F;No result found for postal code 10000
0500497U;cannot convert float NaN to integer
0460576B;cannot convert float NaN to integer
0441412W;No result found for postal code 44071
0260926R;No result found for postal code 26107
0601538W;cannot convert float NaN to integer
0620489V;cannot convert float NaN to integer
0572903W;cannot convert float NaN to integer
0751306M;cannot convert float NaN to integer
0950533N;cannot convert float NaN to integer
0770844Z;cannot convert float NaN to integer
0711477V;No result found for postal code 71300
0441414Y;No result found for postal code 44265
0571355N;cannot convert float NaN to integer
0731308A;cannot convert float NaN to integer
9720464X;cannot convert float NaN to integer
9730077W;No result found for postal code 97326
9710724K;No result found for postal code 97142
9710443E;cannot convert float NaN to integer
0540157C;cannot convert float NaN to integer
0660873R;No result found for postal code 66121
0400701V;cannot convert float NaN to integer
0602079J;cannot convert float NaN to integer
